Time(s),Volts
1.73,0.004625
1.74,0.00475
1.74,0.00475
1.74,0.005125
1.75,0.005125
1.75,0.00525
1.76,0.00525
1.76,0.00525
1.76,0.0053750000000000004
1.77,0.0053750000000000004
1.77,0.005125
1.78,0.0053750000000000004
1.78,0.0053750000000000004
1.78,0.0053750000000000004
1.79,0.0053750000000000004
1.79,0.00575
1.80,0.005625
1.80,0.005625
1.80,0.00675
1.81,0.00675
1.81,0.04825
1.82,0.04825
1.82,0.007
1.82,0.00725
1.83,0.00725
1.83,0.007625
1.84,0.007625
1.84,0.007875
1.84,0.013875
1.85,0.013875
1.85,0.00925
1.86,0.00925
1.86,0.008875000000000001
1.86,0.008625
1.87,0.008625
1.87,0.00825
1.88,0.00825
1.88,0.008375
1.88,0.008
1.89,0.008
1.89,0.008375
1.90,0.008375
1.90,0.009125
1.90,0.009125
1.91,0.004625
1.91,-0.000625
1.92,-0.000625
1.92,-0.000625
1.92,-0.000625
1.93,-0.00025
1.93,-0.000625
1.94,-0.000625
1.94,-0.00025
1.94,-0.00025
1.95,-0.00075
1.95,-0.000375
1.96,-0.000375
1.96,-0.0005
1.96,-0.0005
1.97,-0.000375
1.97,-0.0005
1.98,-0.0005
1.98,-0.0005
1.98,-0.0005
1.99,-0.000375
1.99,-0.000375
2.00,-0.000625
2.00,-0.000375
2.00,-0.000375
2.01,-0.0005
2.01,-0.0005
2.02,-0.00025
2.02,-0.000625
2.02,-0.000625
2.03,-0.000375
2.03,-0.000375
2.04,-0.00025
2.04,-0.000625
2.04,-0.000625
2.05,-0.0005
2.05,-0.0005
2.06,-0.0005
2.06,-0.0005
2.06,-0.0005
2.07,-0.000625
2.07,-0.000625
2.08,-0.000375
2.08,-0.000625
2.08,-0.000625
2.09,-0.000375
2.09,-0.000375
2.10,-0.000625
2.10,-0.000375
2.10,-0.000375
2.11,-0.000625
2.11,-0.000625
2.12,-0.000375
2.12,-0.000375
2.12,-0.0005
2.13,-0.0005
2.13,-0.0005
2.14,-0.0005
2.14,-0.0005
2.14,-0.0005
2.15,-0.000375
2.15,-0.000375
2.16,-0.0005
2.16,-0.0005
2.16,-0.000375
2.17,-0.00075
2.17,-0.00075
2.18,-0.000375
2.18,-0.000375
2.18,-0.0005
2.19,-0.000375
2.19,-0.000375
2.20,-0.000625
2.20,-0.000625
2.20,-0.0005
2.21,-0.000625
2.21,-0.000625
2.22,-0.0005
2.22,-0.0005
2.22,-0.000625
2.23,-0.000625
2.23,-0.0005
2.24,-0.000625
2.24,-0.000625
2.24,-0.0005
2.25,-0.0005
2.25,-0.0005
2.26,-0.000625
2.26,-0.000625
2.26,-0.0005
2.27,-0.0005
2.27,-0.0005
2.28,-0.0005
2.28,-0.0005
2.28,-0.0005
2.29,-0.0005
2.29,-0.0005
2.30,-0.0005
2.30,-0.0005
2.30,-0.0005
2.31,-0.0005
2.31,-0.0005
2.32,-0.0005
2.32,-0.0011250000000000001
2.32,-0.00075
2.33,-0.00075
2.33,-0.001
2.34,-0.001
2.34,-0.001375
2.34,-0.00075
2.35,-0.00075
2.35,-0.001
2.36,-0.001
2.36,-0.002
2.36,-0.000625
2.37,-0.000625
2.37,-0.00075
2.38,-0.00075
2.38,-0.001
2.38,-0.0022500000000000003
2.39,-0.0022500000000000003
2.39,-0.00375
2.40,-0.00375
2.40,-0.00525
2.40,-0.005875
2.41,-0.005875
2.41,-0.006
2.42,-0.006
2.42,-0.0063750000000000005
2.42,-0.0063750000000000005
2.43,-0.00675
2.43,-0.006625
2.44,-0.006625
2.44,-0.006875
2.44,-0.006875
2.45,-0.005875
2.45,-0.006
2.46,-0.006
2.46,-0.00675
2.46,-0.00675
2.47,-0.0073750000000000005
2.47,-0.0075
2.48,-0.0075
2.48,-0.00775
2.48,-0.00775
2.49,-0.007625
2.49,-0.0073750000000000005
2.50,-0.0073750000000000005
2.50,-0.0073750000000000005
2.50,-0.0073750000000000005
2.51,-0.006875
2.51,-0.006875
2.52,-0.006125
2.52,-0.0035
2.52,-0.0035
2.53,-0.005
2.53,-0.005
2.54,-0.004875
2.54,-0.004875
2.54,-0.004875
2.55,-0.004875
2.55,-0.004875
2.56,-0.00475
2.56,-0.004875
2.56,-0.004875
2.57,-0.004875
2.57,-0.004875
2.58,-0.00475
2.58,-0.004625
2.58,-0.004625
2.59,-0.00375
2.59,-0.00375
2.60,-0.00375
2.60,-0.004125
2.60,-0.004125
2.61,-0.004375
2.61,-0.004375
2.62,-0.0045000000000000005
2.62,-0.004375
2.62,-0.004375
2.63,-0.004375
2.63,-0.004375
2.64,-0.0045000000000000005
2.64,-0.004375
2.64,-0.004375
2.65,-0.004375
2.65,-0.004375
2.66,-0.004125
2.66,-0.004125
2.66,-0.004125
2.67,-0.003875
2.67,-0.003875
2.68,-0.003625
2.68,-0.003125
2.68,-0.003125
2.69,-0.002875
2.69,-0.002875
2.70,-0.0032500000000000003
2.70,-0.0032500000000000003
2.70,-0.0032500000000000003
2.71,-0.003375
2.71,-0.003375
2.72,-0.0035
2.72,-0.0035
2.72,-0.0035
2.73,-0.0032500000000000003
2.73,-0.0032500000000000003
2.74,-0.000875
2.74,-0.000625
2.74,-0.000625
2.75,-0.000625
2.75,-0.000625
2.76,-0.000625
2.76,-0.0005
2.76,-0.0005
2.77,-0.000625
2.77,-0.000625
2.78,-0.0005
2.78,-0.000625
2.78,-0.000625
2.79,-0.000625
2.79,-0.000625
2.80,-0.0005
2.80,-0.000625
2.80,-0.000625
2.81,-0.0005
2.81,-0.0005
2.82,-0.0005
2.82,-0.0005
2.82,-0.0005
2.83,-0.0005
2.83,-0.0005
2.84,-0.0005
2.84,-0.000375
2.84,-0.000375
2.85,-0.0005
2.85,-0.0005
2.86,-0.0005
2.86,-0.0005
2.86,-0.0005
2.87,-0.0005
2.87,-0.0005
2.88,-0.0005
2.88,-0.0005
2.88,-0.0005
2.89,-0.0005
2.89,-0.0005
2.90,-0.0005
2.90,-0.0005
2.90,-0.0005
2.91,-0.0005
2.91,-0.0005
2.92,-0.0005
2.92,-0.000375
2.92,-0.000375
2.93,-0.0005
2.93,-0.0005
2.94,-0.0005
2.94,-0.000375
2.94,-0.000375
2.95,-0.0005
2.95,-0.0005
2.96,-0.0005
2.96,-0.0005
2.96,-0.0005
2.97,-0.0005
2.97,-0.0005
2.98,-0.0005
2.98,-0.0005
2.98,-0.0005
2.99,-0.000375
2.99,-0.000375
3.00,-0.000875
3.00,-0.000875
3.00,-0.000125
3.01,-0.000375
3.01,-0.000375
3.02,-0.000125
3.02,-0.000125
3.02,-0.00025
3.03,0.0
3.03,0.0
3.04,0.00075
3.04,0.00075
3.04,0.0015
3.05,-0.00025
3.05,-0.00025
3.06,0.00025
3.06,0.00025
3.06,0.0016250000000000001
3.07,-0.00025
3.07,-0.00025
3.08,-0.000125
3.08,-0.000125
3.08,-0.0005
3.09,-0.000125
3.09,-0.000125
3.10,-0.000375
3.10,-0.000375
3.10,0.00025
3.11,0.000375
3.11,0.000375
3.12,0.000875
3.12,0.000875
3.12,0.0011250000000000001
3.13,0.001375
3.13,0.001375
3.14,0.001375
3.14,0.001875
3.14,0.001875
3.15,0.002
3.15,0.002
3.16,0.002125
3.16,0.002875
3.16,0.002875
3.17,0.003
3.17,0.003
3.18,0.00375
3.18,0.00375
3.18,0.00375
3.19,0.00425
3.19,0.00425
3.20,0.004375
3.20,0.004875
3.20,0.004875
3.21,0.005125
3.21,0.005125
3.22,0.00525
3.22,0.0053750000000000004
3.22,0.0053750000000000004
3.23,0.005125
3.23,0.005125
3.24,0.0055
3.24,0.00525
3.24,0.00525
3.25,0.005625
3.25,0.005625
3.26,0.0055
3.26,0.006
3.26,0.006
3.27,0.006125
3.27,0.006125
3.28,0.044625
3.28,0.007
3.28,0.007
3.29,0.007
3.29,0.007
